Time_Hours,Well,Group,OD600,OD600_Normalized
0.0,F4,Sample A,0.131,0.02700000000000001
0.25,F4,Sample A,0.141,0.04099999999999998
0.5,F4,Sample A,0.115,0.01200000000000001
0.75,F4,Sample A,0.104,-0.0010000000000000009
1.0,F4,Sample A,0.113,0.01100000000000001
1.25,F4,Sample A,0.167,0.06300000000000001
1.5,F4,Sample A,0.113,0.009000000000000008
1.75,F4,Sample A,0.102,-0.0010000000000000009
2.0,F4,Sample A,0.113,0.008000000000000007
2.25,F4,Sample A,0.113,0.007000000000000006
2.5,F4,Sample A,0.14,0.03700000000000002
2.75,F4,Sample A,0.119,0.012999999999999998
3.0,F4,Sample A,0.124,0.019000000000000003
3.25,F4,Sample A,0.15,0.040999999999999995
3.5,F4,Sample A,0.115,0.008000000000000007
3.75,F4,Sample A,0.127,0.020000000000000004
4.0,F4,Sample A,0.114,0.008000000000000007
4.25,F4,Sample A,0.157,0.047
4.5,F4,Sample A,0.117,0.0020000000000000018
4.75,F4,Sample A,0.114,0.007000000000000006
5.0,F4,Sample A,0.115,0.010000000000000009
5.25,F4,Sample A,0.116,0.010000000000000009
5.5,F4,Sample A,0.11,-0.0020000000000000018
5.75,F4,Sample A,0.187,0.081
6.0,F4,Sample A,0.116,0.01100000000000001
6.25,F4,Sample A,0.109,-0.0030000000000000027
6.5,F4,Sample A,0.201,0.08900000000000001
6.75,F4,Sample A,0.117,0.010000000000000009
7.0,F4,Sample A,0.143,0.028999999999999984
7.25,F4,Sample A,0.116,0.009000000000000008
7.5,F4,Sample A,0.118,0.009999999999999995
7.75,F4,Sample A,0.124,0.018000000000000002
8.0,F4,Sample A,0.117,0.007000000000000006
8.25,F4,Sample A,0.141,0.03299999999999999
8.5,F4,Sample A,0.116,0.006000000000000005
8.75,F4,Sample A,0.117,0.006000000000000005
9.0,F4,Sample A,0.118,0.011999999999999997
9.25,F4,Sample A,0.116,0.009000000000000008
9.5,F4,Sample A,0.118,0.008999999999999994
9.75,F4,Sample A,0.147,0.03699999999999999
10.0,F4,Sample A,0.119,0.009999999999999995
10.25,F4,Sample A,0.14,0.033000000000000015
10.5,F4,Sample A,0.111,-0.0030000000000000027
10.75,F4,Sample A,0.118,0.011999999999999997
11.0,F4,Sample A,0.119,0.007999999999999993
11.25,F4,Sample A,0.111,-0.0010000000000000009
11.5,F4,Sample A,0.117,0.007000000000000006
11.75,F4,Sample A,0.118,0.010999999999999996
12.0,F4,Sample A,0.12,0.007999999999999993
12.25,F4,Sample A,0.122,0.016
12.5,F4,Sample A,0.12,0.008999999999999994
12.75,F4,Sample A,0.12,0.007999999999999993
13.0,F4,Sample A,0.124,0.012999999999999998
13.25,F4,Sample A,0.111,-0.0010000000000000009
13.5,F4,Sample A,0.12,0.007999999999999993
13.75,F4,Sample A,0.266,0.15700000000000003
14.0,F4,Sample A,0.12,0.008999999999999994
14.25,F4,Sample A,0.121,0.012999999999999998
14.5,F4,Sample A,0.121,0.012999999999999998
14.75,F4,Sample A,0.122,0.012999999999999998
15.0,F4,Sample A,0.122,0.008999999999999994
15.25,F4,Sample A,0.12,0.007999999999999993
15.5,F4,Sample A,0.122,0.011999999999999997
15.75,F4,Sample A,0.123,0.011999999999999997
16.0,F4,Sample A,0.122,0.009999999999999995
16.25,F4,Sample A,0.121,0.008999999999999994
16.5,F4,Sample A,0.121,0.006999999999999992
16.75,F4,Sample A,0.124,0.008999999999999994
17.0,F4,Sample A,0.12,0.009999999999999995
17.25,F4,Sample A,0.123,0.013999999999999999
17.5,F4,Sample A,0.116,-0.0010000000000000009
17.75,F4,Sample A,0.123,0.012999999999999998
18.0,F4,Sample A,0.124,0.013999999999999999
18.25,F4,Sample A,0.123,0.013999999999999999
18.5,F4,Sample A,0.122,0.012999999999999998
18.75,F4,Sample A,0.122,0.007999999999999993
19.0,F4,Sample A,0.13,0.017
19.25,F4,Sample A,0.123,0.011999999999999997
19.5,F4,Sample A,0.123,0.012999999999999998
19.75,F4,Sample A,0.126,0.013999999999999999
20.0,F4,Sample A,0.124,0.010999999999999996
20.25,F4,Sample A,0.125,0.013999999999999999
20.5,F4,Sample A,0.125,0.016
20.75,F4,Sample A,0.124,0.008999999999999994
21.0,F4,Sample A,0.117,0.0020000000000000018
21.25,F4,Sample A,0.126,0.016
21.5,F4,Sample A,0.127,0.016
21.75,F4,Sample A,0.126,0.010999999999999996
0.0,F5,Positive control (pAX),0.142,0.03799999999999999
0.25,F5,Positive control (pAX),0.162,0.062
0.5,F5,Positive control (pAX),0.173,0.06999999999999999
0.75,F5,Positive control (pAX),0.181,0.076
1.0,F5,Positive control (pAX),0.154,0.052000000000000005
1.25,F5,Positive control (pAX),0.157,0.053000000000000005
1.5,F5,Positive control (pAX),0.152,0.048
1.75,F5,Positive control (pAX),0.148,0.045
2.0,F5,Positive control (pAX),0.145,0.039999999999999994
